platform_code,time,latitude,longitude,observation_depth,ztmp,zsal
,UTC,degrees_north,degrees_east,,Deg C,
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,501.3,3.73,34.02
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,503.2,3.73,34.02
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,505.2,3.73,34.02
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,507.2,3.73,34.02
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,509.2,3.73,34.03
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,511.2,3.73,34.03
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,513.1,3.73,34.03
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,515.1,3.73,34.03
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,517.1,3.72,34.03
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,519.1,3.72,34.03
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,521.0,3.72,34.03
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,523.0,3.72,34.03
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,525.0,3.72,34.04
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,527.0,3.72,34.04
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,529.0,3.71,34.04
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,530.9,3.71,34.05
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,532.9,3.71,34.05
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,534.9,3.7,34.06
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,536.9,3.69,34.06
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,538.8,3.69,34.06
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,540.8,3.69,34.06
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,542.8,3.69,34.06
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,544.8,3.68,34.07
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,546.7,3.68,34.07
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,548.7,3.67,34.07
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,550.7,3.67,34.08
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,552.7,3.66,34.08
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,554.7,3.66,34.09
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,556.6,3.66,34.09
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,558.6,3.65,34.09
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,560.6,3.65,34.09
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,562.6,3.65,34.09
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,564.5,3.65,34.09
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,566.5,3.65,34.09
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,568.5,3.65,34.09
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,570.5,3.64,34.1
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,572.5,3.64,34.1
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,574.4,3.64,34.1
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,576.4,3.63,34.1
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,578.4,3.63,34.1
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,580.4,3.63,34.11
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,582.3,3.63,34.11
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,584.3,3.62,34.11
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,586.3,3.62,34.11
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,588.3,3.62,34.11
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,590.2,3.61,34.11
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,592.2,3.61,34.12
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,594.2,3.61,34.12
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,596.2,3.6,34.12
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,598.2,3.6,34.12
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,600.1,3.6,34.12
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,602.1,3.6,34.12
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,604.1,3.59,34.13
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,606.1,3.59,34.13
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,608.0,3.59,34.13
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,610.0,3.58,34.13
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,612.0,3.58,34.13
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,614.0,3.58,34.14
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,615.9,3.57,34.14
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,617.9,3.57,34.14
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,619.9,3.57,34.14
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,621.9,3.57,34.14
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,623.8,3.57,34.14
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,625.8,3.57,34.14
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,627.8,3.56,34.14
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,629.8,3.56,34.14
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,631.8,3.56,34.15
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,633.7,3.56,34.15
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,635.7,3.56,34.15
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,637.7,3.56,34.15
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,639.7,3.55,34.15
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,641.6,3.55,34.16
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,643.6,3.54,34.16
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,645.6,3.54,34.16
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,647.6,3.53,34.16
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,649.5,3.53,34.16
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,651.5,3.53,34.17
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,653.5,3.52,34.17
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,655.5,3.52,34.17
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,657.4,3.51,34.17
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,659.4,3.51,34.17
